Question	Answer	Source	Metadata
¿Cuántas Champions League ha ganado el FC Barcelona?|¿Cuántas Copas de Europa tiene el Barcelona?|¿En qué años ganó el Barça la Champions?	El FC Barcelona ha ganado 5 UEFA Champions League: 1992 (Wembley), 2006 (París), 2009 (Roma), 2011 (Wembley) y 2015 (Berlín). El club catalán es el quinto más exitoso en la historia de la competición.	champions_league	category:palmares|competition:champions|team:Barcelona
¿Qué jugador ha ganado más Champions League?|¿Quién tiene más Champions en su palmarés?|¿Cuántas Champions tiene Modric?	Dani Carvajal y Luka Modrić comparten el récord con 6 Champions League cada uno, todas con el Real Madrid. Carvajal las ganó en 2014, 2016, 2017, 2018, 2022 y 2024. Modrić también en los mismos años.	champions_league	category:records|record_type:player_titles
¿Cuántas Champions League han ganado equipos españoles en total?|¿Cuántas Copas de Europa han ganado clubes españoles?|¿Qué país tiene más Champions League?	Los equipos españoles han ganado 20 UEFA Champions League en total: Real Madrid 15, Barcelona 5 y Atlético de Madrid 0 (3 subcampeonatos). España es el país con más títulos de Champions League.	champions_league	category:records|scope:country
¿Qué equipo español ha ganado más Europa League?|¿Cuántas UEFA ha ganado el Sevilla?|¿Qué equipo ha ganado más Europa League?|¿Cuándo ganó el Sevilla su última Europa League?	El Sevilla FC es el equipo español y mundial que más veces ha ganado la UEFA Europa League con 7 títulos: 2006, 2007, 2014, 2015, 2016, 2020 y 2023. Es conocido como el 'Rey de Copas'.	europa_league	category:palmares|competition:europa_league|team:Sevilla
¿Qué otros equipos españoles han ganado la Europa League?|¿Cuántos equipos españoles han ganado la UEFA?|¿Ha ganado el Villarreal alguna competición europea?	Además del Sevilla (7), otros equipos españoles que han ganado la Europa League/Copa UEFA son: Real Madrid (2), Atlético de Madrid (3), Valencia (1) y Villarreal (1). España es el país más exitoso en esta competición.	europa_league	category:palmares|competition:europa_league
¿Quién es considerado el mejor jugador español de la historia?|¿Quién ha sido el mejor futbolista español?|¿Es Iniesta el mejor jugador español de todos los tiempos?	Hay debate, pero muchos consideran a Andrés Iniesta el mejor jugador español de la historia por su papel en los éxitos de España (Mundial 2010, Eurocopas 2008 y 2012) y el Barcelona (4 Champions, 9 Ligas). Otros candidatos son Xavi Hernández, Raúl González y Alfredo Di Stéfano.	jugadores_historicos	category:opiniones|topic:best_player
¿Quién es el jugador español con más partidos en La Liga?|¿Quién ha jugado más partidos en La Liga?|¿Cuántos partidos jugó Zubizarreta en La Liga?	Andoni Zubizarreta es el jugador con más partidos en La Liga con 622 encuentros disputados entre 1981 y 1998 jugando para Athletic Club, Barcelona y Valencia. Como portero, tuvo una longevidad excepcional.	jugadores_historicos	category:records|player:Zubizarreta
¿Cuántos equipos compiten en La Liga?|¿Cuántos equipos hay en Primera División?|¿Cuántos partidos juega cada equipo en La Liga?	La Liga española está compuesta por 20 equipos que compiten cada temporada. Cada equipo juega 38 partidos (19 en casa y 19 fuera), y los tres últimos clasificados descienden a Segunda División.	la_liga	category:formato|competition:la_liga
¿Cómo se clasifican los equipos españoles para competiciones europeas?|¿Cuántos equipos españoles van a la Champions?|¿Cómo se clasifica para Europa en España?	Los primeros 4 equipos de La Liga se clasifican para la Champions League. El 5º y el ganador de la Copa del Rey van a la Europa League. El 6º clasificado va a la Conference League (si el ganador de Copa ya está clasificado para Europa).	la_liga	category:formato|topic:european_qualification
¿Qué es la Supercopa de España?|¿Dónde se juega la Supercopa de España?|¿Qué equipos juegan la Supercopa?	La Supercopa de España es un torneo que enfrenta al campeón de La Liga y al ganador de la Copa del Rey (más los subcampeones de ambas competiciones desde 2020). Desde 2020 se juega en formato Final Four en Arabia Saudita en enero.	competiciones	category:competiciones|competition:supercopa
¿Cuál es el estadio más grande de España?|¿Qué estadio tiene más capacidad en España?|¿Cuántos espectadores caben en el Camp Nou?	El Camp Nou del FC Barcelona es el estadio más grande de España con una capacidad de 99,354 espectadores (actualmente en remodelación hasta 2026). Le sigue el Santiago Bernabéu del Real Madrid con capacidad para 81,044 espectadores tras su reciente remodelación.	estadios	category:infraestructura|topic:stadiums
¿Qué es El Clásico?|¿Qué equipos juegan El Clásico?|¿Por qué es importante el Madrid vs Barcelona?	El Clásico es el partido entre el Real Madrid y el FC Barcelona, considerado uno de los encuentros más importantes del fútbol mundial. Representa la rivalidad deportiva, cultural y política entre Madrid y Cataluña. Se han enfrentado más de 250 veces en todas las competiciones.	derbis	category:rivalidades|match:clasico
¿Qué es el derbi madrileño?|¿Qué equipos juegan el derbi de Madrid?|¿Cuál es la rivalidad en Madrid?	El derbi madrileño es el enfrentamiento entre Real Madrid y Atlético de Madrid, los dos principales clubes de la capital española. Es uno de los derbis más intensos de Europa, especialmente desde el resurgimiento del Atlético bajo Diego Simeone desde 2011.	derbis	category:rivalidades|match:derbi_madrileno
¿Cuál es la mayor goleada en La Liga?|¿Cuál es el resultado más abultado en La Liga?|¿Qué equipo ha metido más goles en un partido de Liga?	La mayor goleada en La Liga es 12-1, resultado que se ha dado dos veces: Athletic Bilbao 12-1 Barcelona (1931) y Barcelona 12-1 Las Palmas (1959). En la era moderna, el Barcelona ganó 8-0 al Osasuna en 2022.	records	category:records|record_type:biggest_win
¿Quién es el portero con más partidos imbatido en La Liga?|¿Qué portero estuvo más tiempo sin encajar en La Liga?|¿Cuál es el récord de imbatibilidad en La Liga?	Antoni Ramallets tiene el récord de partidos consecutivos sin encajar gol en La Liga con 8 partidos (712 minutos) con el Barcelona en 1956. En la era moderna, el récord lo tiene Víctor Valdés con 896 minutos sin encajar en 2015.	records	category:records|record_type:clean_sheets
¿Quién es el jugador con más internacionalidades con España?|¿Quién ha jugado más partidos con la selección española?|¿Cuántos partidos jugó Sergio Ramos con España?	Sergio Ramos es el jugador español con más partidos internacionales disputados, con 180 encuentros entre 2005 y 2021. Le sigue Iker Casillas con 167 partidos. Ramos fue capitán de la selección durante muchos años.	seleccion_espanola	category:records|player:Sergio Ramos
¿Quién ganó la Eurocopa 2024?|¿Quién fue campeón de Europa en 2024?|¿Dónde se jugó la final de la Eurocopa 2024?	España ganó la Eurocopa 2024 en Alemania al vencer a Inglaterra 2-1 en la final celebrada en Berlín el 14 de julio. Fue el cuarto título europeo de España, que se proclamó campeona de forma invicta con Luis de la Fuente como seleccionador.	seleccion_espanola	category:actualidad|year:2024|competition:eurocopa
¿Quién fue el mejor jugador de la Eurocopa 2024?|¿Quién ganó el MVP de la Euro 2024?|¿Quién fue el mejor jugador joven de la Euro 2024?	Rodri fue elegido el mejor jugador de la Eurocopa 2024. Lamine Yamal fue elegido mejor jugador joven del torneo a sus 17 años, convirtiéndose en el jugador más joven en jugar y marcar en una Eurocopa.	seleccion_espanola	category:premios|year:2024|competition:eurocopa
¿Qué selecciones han ganado más Copas del Mundo?|¿Cuántos mundiales ha ganado Brasil?|¿Cuántos mundiales tiene Argentina?	Brasil lidera con 5 títulos (1958, 1962, 1970, 1994, 2002), seguido de Alemania e Italia con 4 cada uno. Argentina tiene 3 (1978, 1986, 2022), Francia 2 (1998, 2018), Uruguay 2 (1930, 1950), Inglaterra 1 (1966) y España 1 (2010).	selecciones	category:records|competition:mundial
¿Quién es el máximo goleador de la historia de los Mundiales?|¿Quién ha marcado más goles en Mundiales?|¿Cuántos goles tiene Klose en Copas del Mundo?	El alemán Miroslav Klose es el máximo goleador histórico de los Mundiales con 16 goles en 4 ediciones (2002, 2006, 2010, 2014). Le siguen Ronaldo Nazário (Brasil) con 15 goles y Gerd Müller (Alemania) con 14.	selecciones	category:records|competition:mundial
¿Quién ganó el Mundial 2022?|¿Quién fue campeón del mundo en 2022?|¿Ganó Messi el Mundial?	Argentina ganó la Copa del Mundo 2022 en Qatar al vencer a Francia en la final por penales (4-2) tras empatar 3-3. Lionel Messi marcó dos goles en la final y finalmente consiguió el trofeo que le faltaba.	selecciones	category:actualidad|year:2022|competition:mundial
¿Qué selección ha ganado más Eurocopas?|¿Cuántas Eurocopas ha ganado Alemania?|¿Quién tiene más títulos europeos?	España y Alemania comparten el récord con 4 Eurocopas cada uno. España las ganó en 1964, 2008, 2012 y 2024. Alemania las ganó en 1972, 1980 y 1996.	selecciones	category:records|competition:eurocopa
¿Qué selecciones sudamericanas son las más exitosas?|¿Cuántas Copas América ha ganado Argentina?|¿Quién ha ganado más Copas América?	Brasil es la más exitosa con 5 Mundiales y 9 Copas América. Argentina tiene 3 Mundiales y 15 Copas América (récord). Uruguay tiene 2 Mundiales y 15 Copas América.	selecciones	category:palmares|region:sudamerica
¿Quién es el máximo goleador de la historia de la Champions League?|¿Quién ha marcado más goles en la Champions?|¿Cuántos goles tiene Cristiano en Champions League?	Cristiano Ronaldo es el máximo goleador histórico de la Champions League con 140 goles en 183 partidos. Le sigue Lionel Messi con 129 goles en 163 partidos.	champions_league	category:records|record_type:top_scorer
¿Qué equipos han ganado más Champions League además del Real Madrid?|¿Cuántas Champions tiene el Milan?|¿Cuántas Champions ha ganado el Liverpool?	Después del Real Madrid (15), los clubes con más títulos son: AC Milan con 7, Bayern München y Liverpool con 6 cada uno, Barcelona con 5, y Ajax con 4.	champions_league	category:palmares|competition:champions
¿Qué es la UEFA Conference League?|¿Cuándo se creó la Conference League?|¿Qué equipos han ganado la Conference League?	La UEFA Conference League es la tercera competición europea de clubes creada en 2021. La ganó la Roma en 2022, el West Ham en 2023, y el Olympiacos en 2024.	competiciones_europeas	category:competiciones|competition:conference_league
¿Qué entrenadores han ganado más Champions League?|¿Quién es el entrenador más exitoso en Champions?|¿Cuántas Champions ganó Zidane?	Carlo Ancelotti es el entrenador con más títulos de Champions League con 5: 2003 y 2007 con Milan, 2014, 2022 y 2024 con Real Madrid. Le sigue Zinedine Zidane con 3 consecutivas (2016, 2017, 2018).	champions_league	category:records|record_type:coaches
¿Qué es el triplete en fútbol?|¿Qué equipos han ganado el triplete?|¿Cuántos tripletes ha ganado el Barcelona?	El triplete es ganar la liga nacional, la copa nacional y la Champions League en la misma temporada. Lo han logrado: Celtic (1967), Ajax (1972), PSV (1988), Manchester United (1999), Barcelona (2009, 2015), Inter (2010), Bayern (2013, 2020) y Manchester City (2023).	records	category:records|record_type:triplete
¿Quién ganó la Champions League 2024?|¿Quién fue campeón de Europa en 2024?|¿Dónde se jugó la final de la Champions 2024?	El Real Madrid ganó la Champions League 2023-2024 al vencer al Borussia Dortmund 2-0 en la final en Wembley el 1 de junio de 2024. Fue su decimoquinto título europeo.	champions_league	category:actualidad|year:2024|competition:champions
¿Qué equipos españoles han ganado la Copa del Rey más veces?|¿Cuántas Copas del Rey ha ganado el Barcelona?|¿Cuántas Copas tiene el Athletic?	El Barcelona lidera con 31 títulos, seguido del Athletic Club con 24 y el Real Madrid con 20. El Athletic es el único club que nunca ha descendido junto al Real Madrid y el Barcelona.	copa_del_rey	category:palmares|competition:copa_del_rey
¿Qué es el Pichichi?|¿Quién ha ganado más Pichichis?|¿Por qué se llama Pichichi?	El Trofeo Pichichi es el premio al máximo goleador de La Liga cada temporada. Lo entrega el diario Marca desde 1953. Messi lo ganó 8 veces y Cristiano Ronaldo 3.	la_liga	category:premios|award:pichichi
¿Qué es el Trofeo Zamora?|¿Quién ha ganado más Zamoras?|¿Cuántos Zamoras tiene Oblak?	El Trofeo Zamora es el premio al portero menos goleado de La Liga cada temporada. Lo entrega Marca en honor a Ricardo Zamora. Jan Oblak lo ha ganado 5 veces.	la_liga	category:premios|award:zamora
¿Qué jugador ha ganado más Balones de Oro?|¿Cuántos Balones de Oro tiene Messi?|¿Quién tiene más Balones de Oro en la historia?	Lionel Messi ha ganado 8 Balones de Oro (2009-2012, 2015, 2019, 2021, 2023). Le sigue Cristiano Ronaldo con 5 (2008, 2013, 2014, 2016, 2017).	premios	category:premios|award:balon_oro
¿Quién ganó el Balón de Oro 2024?|¿Quién fue el Balón de Oro 2024?|¿Cuándo ganó Rodri el Balón de Oro?	Rodri del Manchester City ganó el Balón de Oro 2024, convirtiéndose en el primer español en conseguirlo desde Luis Suárez en 1960.	premios	category:premios|year:2024|award:balon_oro
¿Qué es la Bota de Oro?|¿Quién ha ganado más Botas de Oro?|¿Cómo se calcula la Bota de Oro?	La Bota de Oro europea es el premio al máximo goleador de todas las ligas europeas, ponderado por dificultad. Messi la ganó 6 veces y Cristiano Ronaldo 4 veces.	premios	category:premios|award:bota_oro
¿Qué entrenador ha ganado más títulos de La Liga?|¿Quién es el entrenador más exitoso en La Liga?|¿Cuántas Ligas ganó Miguel Muñoz?	Miguel Muñoz es el entrenador que más Ligas ha ganado con 9 títulos, todos con el Real Madrid entre 1960 y 1969. Le siguen Johan Cruyff con 4 y Zinedine Zidane con 2.	la_liga	category:records|record_type:coaches
¿Qué es la remontada del Barcelona contra el PSG?|¿Cuál fue la remontada más épica del Barcelona?|¿Cuándo fue la remontada del Barça contra el PSG?	En marzo de 2017, el Barcelona remontó un 4-0 del PSG ganando 6-1 en el Camp Nou (6-5 global) en octavos de Champions. Sergi Roberto marcó el 6-1 en el minuto 95.	champions_league	category:historico|match:remontada_psg
¿Qué es La Decimocuarta del Real Madrid?|¿Cuándo ganó el Real Madrid la Decimocuarta?|¿Contra quién ganó el Madrid en París 2022?	La Decimocuarta es la decimocuarta Champions ganada por el Real Madrid en 2022 al vencer al Liverpool 1-0 en París. Fue seguida por La Decimoquinta en 2024.	champions_league	category:palmares|team:Real Madrid
¿Qué equipos forman el Big Five europeo?|¿Cuáles son las cinco grandes ligas?|¿Cuál es la mejor liga de Europa?	Las cinco grandes ligas europeas son: La Liga (España), Premier League (Inglaterra), Serie A (Italia), Bundesliga (Alemania) y Ligue 1 (Francia).	competiciones	category:formato|topic:big_five
¿Qué es el Fair Play Financiero?|¿Para qué sirve el Fair Play Financiero?|¿Cuándo se creó el Fair Play Financiero?	El Fair Play Financiero es un conjunto de regulaciones de la UEFA desde 2011 para evitar que los clubes gasten más de lo que ingresan y garantizar sostenibilidad financiera.	regulaciones	category:regulaciones|topic:ffp
¿Qué es la Superliga Europea?|¿Qué pasó con la Superliga Europea?|¿Por qué fracasó la Superliga?	La Superliga Europea fue un proyecto fallido anunciado en abril de 2021 por 12 grandes clubes para crear una competición cerrada. Colapsó en 48 horas por presión de aficionados, UEFA y gobiernos.	competiciones	category:historico|topic:superliga
¿Qué es la Supercopa de Europa?|¿Quién juega la Supercopa de Europa?|¿Cuándo se juega la Supercopa de Europa?	La Supercopa de Europa enfrenta al campeón de Champions contra el campeón de Europa League en un partido único en agosto. Se juega desde 1973.	competiciones_europeas	category:competiciones|competition:supercopa_europa
¿Qué equipos ingleses han dominado la Premier League?|¿Cuántas Premier ha ganado el Manchester City?|¿Cuándo ganó Leicester la Premier?	Manchester United tiene 13 Premiers, Manchester City 10 (incluyendo 4 consecutivas), Chelsea 5, Arsenal 3, Liverpool 1, y Leicester 1 (2016).	premier_league	category:palmares|competition:premier
¿Qué es el Leicester City miracle?|¿Qué hizo especial al Leicester en 2016?|¿Por qué fue tan sorprendente el título del Leicester?	En 2015-2016, el Leicester ganó la Premier con cuotas de 5000 a 1. Dirigido por Claudio Ranieri, es considerado el mayor logro improbable del fútbol.	premier_league	category:historico|team:Leicester
¿Qué es el Calcio italiano?|¿Qué es la Serie A?|¿Cuántos títulos tiene la Juventus?	El Calcio es el fútbol en Italia. La Serie A ha sido una de las ligas más fuertes. Juventus tiene 36 títulos, Inter y Milan 19 cada uno.	serie_a	category:info|competition:serie_a
¿Qué es el Calciopoli?|¿Qué pasó con la Juventus en 2006?|¿Qué fue el escándalo del Calciopoli?	El Calciopoli fue un escándalo de corrupción en 2006 donde directivos influenciaban árbitros. La Juventus fue despojada de títulos y descendida a Serie B.	serie_a	category:historico|scandal:calciopoli
¿Qué es el derbi de la capital de Italia?|¿Qué equipos juegan el derbi romano?|¿Qué es el Derby della Capitale?	El Derby della Capitale es el enfrentamiento entre Roma y Lazio, los dos equipos de Roma. Es uno de los derbis más apasionados de Europa.	derbis	category:rivalidades|match:derbi_roma
¿Qué es el derbi de Milán?|¿Qué equipos juegan el derbi de Milán?|¿Qué equipos comparten el San Siro?	El Derby della Madonnina enfrenta a Milan e Inter, que comparten el San Siro. Inter tiene 20 Scudetti y Milan 19, con 7 Champions cada uno.	derbis	category:rivalidades|match:derbi_milan
¿Qué es la Bundesliga?|¿Cuántos títulos tiene el Bayern München?|¿Qué es la regla 50+1 en Alemania?	La Bundesliga es la primera división alemana fundada en 1963. El Bayern tiene 33 títulos. Se caracteriza por la regla 50+1 que garantiza que socios controlen clubes.	bundesliga	category:info|competition:bundesliga
¿Qué es el Borussia Dortmund?|¿Cuántas Bundesligas ha ganado el Dortmund?|¿Qué es la Yellow Wall del Dortmund?	El Dortmund tiene 8 Bundesligas y 1 Champions (1997). Es famoso por su tribuna Yellow Wall con 25,000 aficionados de pie.	bundesliga	category:clubes|team:Dortmund
¿Qué es el Bayern de Múnich?|¿Cuántas Champions tiene el Bayern?|¿Dónde juega el Bayern?	El Bayern es el club más exitoso de Alemania con 33 Bundesligas y 6 Champions. Ha ganado 2 tripletes (2013, 2020). Juega en el Allianz Arena.	bundesliga	category:clubes|team:Bayern
¿Qué es la Ligue 1?|¿Cuántos títulos ha ganado el PSG?|¿Cuál es la liga francesa?	La Ligue 1 es la primera división francesa, dominada por Saint-Étienne (10), Marsella (10) y PSG (12 desde 2012).	ligue_1	category:info|competition:ligue_1
¿Qué es el PSG?|¿Cuándo compraron el PSG?|¿Ha ganado el PSG la Champions?	El PSG domina Francia con 12 títulos desde la compra por Qatar en 2012. Nunca ha ganado la Champions (subcampeón en 2020).	ligue_1	category:clubes|team:PSG
¿Qué es el Olympique de Marsella?|¿Qué equipo francés ganó la Champions?|¿Cuándo ganó el Marsella la Copa de Europa?	El Marsella es el único club francés que ganó la Champions (1993). Tiene 10 títulos de liga y juega en el Vélodrome.	ligue_1	category:clubes|team:Marsella
¿Qué es el derbi de Portugal?|¿Qué equipos son grandes en Portugal?|¿Cuántas Champions ha ganado el Porto?	El derbi enfrenta a Benfica (38 ligas, 2 Champions) y Porto (30 ligas, 2 Champions). El Sporting con 20 ligas completa los tres grandes.	liga_portugal	category:rivalidades|region:portugal
¿Qué es el Ajax de Ámsterdam?|¿Cuántas Champions ha ganado el Ajax?|¿Qué jugadores salieron del Ajax?	El Ajax tiene 36 Eredivisies y 4 Champions (1971-1973, 1995). Su cantera ha producido leyendas como Cruyff, Van Basten, Bergkamp, De Jong, De Ligt.	eredivisie	category:clubes|team:Ajax
¿Qué fue el Ajax de los 70?|¿Qué es el fútbol total?|¿Cuándo dominó el Ajax Europa?	El Ajax ganó 3 Champions consecutivas (1971-1973) con el fútbol total de Rinus Michels y Cruyff. Revolucionaron el fútbol con juego fluido.	eredivisie	category:historico|era:ajax_70s
¿Qué es la Eredivisie?|¿Cuál es la liga holandesa?|¿Para qué es famosa la liga holandesa?	La Eredivisie es la primera división holandesa, dominada por Ajax (36), PSV (25) y Feyenoord (16). Es famosa por desarrollar jóvenes talentos.	eredivisie	category:info|competition:eredivisie
¿Qué selecciones han sido subcampeonas del mundo sin haberlo ganado?|¿Cuántas veces fue Holanda subcampeona del mundo?|¿Ha ganado Holanda algún Mundial?	Holanda es la más exitosa sin Mundial con 3 subcampeonatos (1974, 1978, 2010). Le sigue Hungría con 2 y Checoslovaquia con 2. Croacia fue subcampeona en 2018.	selecciones	category:records|topic:subcampeones
¿Qué es la naranja mecánica?|¿Por qué se llamaba naranja mecánica a Holanda?|¿Qué fue especial de Holanda en los 70?	La naranja mecánica fue la selección holandesa de los 70 que revolucionó el fútbol con el fútbol total. Liderada por Cruyff, fue subcampeona en 1974 y 1978.	selecciones	category:historico|team:Holanda
¿Qué es la selección de Bélgica?|¿Qué fue la generación dorada de Bélgica?|¿Quiénes eran las estrellas de Bélgica?	Bélgica vivió su época dorada 2014-2022 con De Bruyne, Hazard, Lukaku, Courtois. Fueron terceros en 2018 y número 1 FIFA, pero sin títulos.	selecciones	category:equipos|team:Belgica
¿Qué es la selección de Portugal?|¿Cuándo ganó Portugal la Eurocopa?|¿Qué títulos ha ganado Portugal?	Portugal ganó la Eurocopa 2016 y Nations League 2019 con Cristiano. Cristiano es el máximo goleador de selecciones con más de 130 goles.	selecciones	category:equipos|team:Portugal
¿Quién es el máximo goleador de selecciones de la historia?|¿Cuántos goles tiene Cristiano con Portugal?|¿Cuántos goles tiene Messi con Argentina?	Cristiano Ronaldo es el máximo goleador con más de 130 goles con Portugal. Le sigue Messi con más de 100 con Argentina.	selecciones	category:records|record_type:top_scorer
¿Qué es la Copa América?|¿Cuándo se creó la Copa América?|¿Cada cuánto se juega la Copa América?	La Copa América es el torneo más antiguo del mundo (1916) y el campeonato sudamericano. Argentina y Uruguay lideran con 15 cada uno, Brasil con 9.	competiciones	category:competiciones|competition:copa_america
¿Qué es la Copa Africana de Naciones?|¿Quién ha ganado más Copas Africanas?|¿Cada cuánto se juega la Copa Africana?	La CAN es el campeonato africano que se juega cada 2 años. Egipto lidera con 7 títulos, Camerún con 5 y Ghana con 4.	competiciones	category:competiciones|competition:can
¿Qué es la Gold Cup?|¿Qué es el torneo de CONCACAF?|¿Cuántas Gold Cup ha ganado México?	La Gold Cup es el campeonato de CONCACAF que se juega cada 2 años. México domina con 12 títulos, seguido de Estados Unidos con 7.	competiciones	category:competiciones|competition:gold_cup
¿Qué es la Copa Asia?|¿Quién ha ganado más Copas Asiáticas?|¿Cada cuánto se juega la Copa Asia?	La Copa Asiática es el campeonato de Asia cada 4 años. Japón lidera con 4 títulos, Arabia Saudita e Irán con 3 cada uno.	competiciones	category:competiciones|competition:copa_asia
¿Qué es la UEFA Nations League?|¿Para qué sirve la Nations League?|¿Quién ha ganado la Nations League?	La Nations League es una competición europea creada en 2018 para reemplazar amistosos. Portugal ganó en 2019, Francia en 2021, España en 2023.	competiciones_europeas	category:competiciones|competition:nations_league
¿Qué es el Golden Boot del Mundial?|¿Quién fue el máximo goleador del Mundial 2022?|¿Cuántos goles metió Mbappé en el Mundial 2022?	El Golden Boot es el premio al máximo goleador del Mundial. En 2022 lo ganó Mbappé con 8 goles. Kane lo ganó en 2018 con 6 goles.	premios	category:premios|award:golden_boot
¿Qué es el Golden Ball del Mundial?|¿Quién fue el mejor jugador del Mundial 2022?|¿Cuántos Balones de Oro del Mundial tiene Messi?	El Golden Ball es el premio al mejor jugador del Mundial. En 2022 lo ganó Messi. Modrić lo ganó en 2018.	premios	category:premios|award:golden_ball
¿Qué jugadores han ganado el Mundial y la Champions en el mismo año?|¿Es común ganar Mundial y Champions en un año?|¿Qué franceses ganaron ambos en 2018?	Ronaldinho y Ronaldo en 2002, alemanes del Bayern en 2014 (Neuer, Lahm, Schweinsteiger, Müller, Kroos), y Varane con Francia en 2018 lo lograron.	records	category:records|record_type:double_achievement
